species,body_mass,body_mass_log,HWI,HWI_log,life_history_PC1,median_dispersal_km,median_dispersal_log,long_dispersal_km,long_dispersal_log
Accipiter_gentilis,1.1476500059231625,1.1387072170897523,-0.12604952589133706,0.04953503886372804,-0.9352730752426319,11.511303705103,2.526632532086828,47.0257675057581,3.871737689906578
Accipiter_nisus,0.398369393707893,0.5106493151196155,-0.19732712092175042,-0.023521578320568115,-0.2568994025009309,13.150696810123,2.6497638674084354,238.814797318393,5.4798669476053545
Acrocephalus_dumetorum,-1.2360769354926089,-1.371682980551107,-1.1972773026806278,-1.3251653367921294,0.6771378449536681,0.964402260774786,0.6751880060552213,6.79396150315669,2.0533492676121314
Acrocephalus_paludicola,-1.2168387137263763,-1.3432023769543144,-0.6311897674781638,-0.5153220795387439,0.8826751134750372,0.249944879332742,0.22309945380812254,0.585461831433127,0.4608757411859173
Acrocephalus_schoenobaenus,-1.2060749349309017,-1.327359073412733,-0.8066676865899717,-0.742017434568755,0.6083289733068126,0.175632377435687,0.16180619638419583,2.95551218699709,1.375110096500251
Acrocephalus_scirpaceus,-1.1847154546358787,-1.2961119161821086,-1.1680191241826716,-1.2769680302129593,0.3961368092437495,0.702281638793773,0.5319694916636531,4.89587622101259,1.7742531609442405
Actitis_hypoleucos,-0.43824032927320683,-0.3383806677057701,0.71143398164445,0.7886745258867593,-0.03142300690495954,0.943105300572354,0.6642873637659069,175.542808355734,5.173563387224334
Aegithalos_caudatus,-1.3808935687490929,-1.5931262463831803,-1.16652392627197,-1.274527358753902,1.0503386592929356,0.780715994619637,0.5770155275938317,5.06815062342687,1.8030538837600942
Aegolius_funereus,0.1374553520786569,0.2654061159508907,-0.33749030557063814,-0.17306009052497678,0.3744904999338215,30.1569038611038,3.439035853456764,376.869051676072,5.934547711463509
Alcedo_atthis,-0.6763460637106065,-0.6187689699441825,-0.8292474935333803,-0.7725828374672925,0.4838866997431136,3.08860073248884,1.4082027923227043,15.9182060698654,2.8283903243174766
Anas_platyrhynchos,1.1331404461038361,1.127470317632022,0.9172078212329787,0.9436517431384068,0.33610652500098287,1.32801094033659,0.845014229315447,53.9555956966564,4.006525508179272
Anser_anser,1.8814472082717448,1.6679926481457805,0.7223012744773983,0.7970797181601293,-1.5242513348583593,3.8102920705188,1.570757803795773,107.995658820667,4.691308054102684
Anthus_pratensis,-0.9639138109058879,-0.9871621652594259,-1.0942906865700157,-1.1591088437161672,0.9105398996897033,0.381726442971605,0.32333376289519,2.0762503346491,1.123711431507877
Anthus_trivialis,-0.8337690761064369,-0.8160529334791184,-0.9015901824363193,-0.8728458471209531,0.7485888610904724,0.388320597763312,0.32809481362889426,2.68606958759331,1.3045607379607216
Apus_apus,-0.5721171813841103,-0.493507163461666,2.192212625948965,1.7484182571635785,-0.9875677306181865,1.43150323234977,0.888509680225315,10.7844474077641,2.4667806458330093
Aquila_heliaca,1.851211591554139,1.6475645176916678,0.08964974004462964,0.25955887323324955,-2.347937641995696,49.4922956651682,3.9218207635569096,231.945681899206,5.450805301491757
Ardea_cinerea,1.4275495638557387,1.3492835353890171,-0.36527084719247543,-0.20368226205740014,-1.171095902588585,29.9257395943022,3.4315888337339557,383.709340644147,5.952488089796596
Athene_noctua,0.2515598150887793,0.3745872749999687,-0.4656470473159814,-0.31723616188020215,0.3868599897344665,2.57767479103065,1.274713089684187,21.4545518295234,3.111493347735467
Aythya_ferina,1.119697220123585,1.1170298395035312,0.9654479087443654,0.9787621267101104,0.06759259427687475,1.15943025381758,0.7698444155215344,20.3049850697636,3.0589410861660675
Aythya_fuligula,1.031873744023572,1.0481162709790695,0.7458737914356451,0.8152244253643114,-0.678616466996319,0.917297820032106,0.6509168093427129,376.37304695486,5.933234212670411
Bubo_bubo,1.7646010627955266,1.5884395568275187,-0.3801618187380898,-0.22023686644454785,-1.3146796279211825,36.7528022399319,3.6310597044613857,141.836617264263,4.961701440453827
Bubulcus_ibis,0.6753831765916388,0.7549615583882033,-0.8194739565883989,-0.7593113564252708,-0.21068094138400978,6.87407009809344,2.063575094957591,581.197380396336,6.366809531810394
Bucephala_clangula,1.179927849014886,1.1635875282624626,1.0233777416447374,1.0203450858827703,0.041066302272981005,1.03638299285757,0.7111751914385755,11.8465462872211,2.5530750037932344
Buteo_buteo,1.075394214397872,1.082420466853258,-0.049131177867880814,0.1262695415574116,-1.2625321304354948,18.1007651737022,2.9497283957005225,214.893521885188,5.374785331907041
Buteo_lagopus,1.1982399818718412,1.1776315603840264,0.26429662356099715,0.4186636738497474,-0.8626665182804981,8.26712734545765,2.2264734443314,2391.3773963188,7.780042877006223
Caprimulgus_ruficollis,-0.24327069882003358,-0.12310486849383324,1.1491701658005387,1.1085468874327256,0.5368670494191484,14.0750243133159,2.713039355435557,36.59545719394,3.6268832237865016
Carduelis_carduelis,-1.0405359311029607,-1.091583423473862,-0.3583961713578438,-0.19607280088501788,0.8053096044201644,0.0485939687932503,0.04745018946442578,25.1265442217516,3.2629518175046774
Carpodacus_erythrinus,-0.8189322650732657,-0.7970210720418769,-0.4406385070065315,-0.288505952871234,0.6787285802656432,0.977733819079575,0.681951653406732,6.66493854702437,2.0366564949432195
